,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
68,East London,60,ZA,1576095405,86,-33.02,27.91,67.46,12.37
69,Butaritari,0,KI,1576095819,73,3.07,172.79,84.81,14.61
70,Bambous Virieux,75,MU,1576095406,94,-20.34,57.76,80.01,3.36
71,Ilulissat,5,GL,1576095383,45,69.22,-51.1,3.2,8.05
72,Lakatoro,72,VU,1576095820,70,-16.11,167.42,77.94,17.6
73,Luanda,20,AO,1576095455,74,-8.83,13.24,80.6,10.29
74,High Level,75,CA,1576095820,63,58.52,-117.13,-7.6,8.05
75,Tasiilaq,90,GL,1576095373,79,65.61,-37.64,24.8,29.97
76,Kruisfontein,76,ZA,1576095414,84,-34.0,24.73,63.45,8.5
77,Auki,0,NG,1576095821,13,12.18,6.51,70.14,8.59
78,Manta,90,RO,1576095821,93,45.1,24.1,39.36,6.35
79,Ryotsu,75,JP,1576095821,87,38.08,138.43,51.8,8.05
80,Magistralnyy,100,RU,1576095821,93,56.17,107.45,15.46,8.66
81,Kakonko,100,TZ,1576095822,96,-3.28,30.97,63.12,2.21
82,Awbari,0,LY,1576095822,36,26.59,12.77,50.94,10.13
83,Adrar,0,DZ,1576095822,26,27.87,-0.29,55.4,6.93
84,Upernavik,0,GL,1576095378,56,72.79,-56.15,1.63,5.41
85,Ponta do Sol,100,BR,1576095367,93,-20.63,-46.0,69.8,6.22
86,Atuona,49,PF,1576095407,74,-9.8,-139.03,79.27,13.78
87,Codrington,29,AU,1576095446,88,-28.95,153.24,71.01,8.05
88,Georgetown,90,GY,1576095392,94,6.8,-58.16,77.0,4.7
89,Yatou,40,CM,1576095492,83,3.63,9.81,82.4,3.0
90,Nikolskoye,40,RU,1576095392,86,59.7,30.79,27.0,11.18
91,Leh,100,IN,1576095824,81,34.16,77.58,9.03,2.51
92,Clyde River,75,CA,1576095497,84,70.47,-68.59,-0.4,16.11
93,Castro,75,CL,1576095824,54,-42.48,-73.76,55.4,17.22
94,Kardailovo,30,RU,1576095824,90,51.54,53.9,19.08,6.04
95,Houma,0,CN,1576095824,43,35.63,111.36,32.52,7.29
96,Cape Town,71,ZA,1576095363,88,-33.93,18.42,72.0,12.75
97,Yerbogachen,100,RU,1576095455,97,61.28,108.01,1.78,2.24
98,Broome,40,GB,1576095478,86,52.47,1.45,42.01,9.17
99,Ha Tinh,100,VN,1576095825,79,18.33,105.9,65.48,8.63
100,Solnechnyy,2,RU,1576095825,86,50.72,136.64,-4.25,5.01
101,Zatoka,0,PL,1576095826,92,50.04,20.52,27.0,5.82
102,Quata,100,BR,1576095603,81,-22.25,-50.7,75.06,7.47
103,Ugoofaaru,100,MV,1576095382,76,5.67,73.0,80.85,5.73
104,Kodiak,1,US,1576095431,41,39.95,-94.76,43.0,5.82
105,Cherskiy,100,RU,1576095384,96,68.75,161.3,-2.38,18.54
106,Shelburne,90,CA,1576095827,78,44.08,-80.2,24.01,20.8
107,Tiksi,67,RU,1576095443,88,71.64,128.87,-25.92,5.41
108,Sept-Iles,20,CA,1576095474,43,50.2,-66.38,10.4,6.93
109,Jaru,95,BR,1576095827,88,-10.43,-62.48,81.99,5.73
110,Port Elizabeth,40,US,1576095422,59,39.31,-74.98,39.99,12.75
111,Chimbote,82,PE,1576095434,63,-9.08,-78.59,74.46,13.65
112,Umm Lajj,25,SA,1576095480,41,25.02,37.27,68.25,4.03
113,Saint George,75,GR,1576095408,87,39.45,22.34,46.4,6.93
114,Talnakh,75,RU,1576095384,92,69.49,88.39,19.4,13.42
115,Komsomolskiy,88,RU,1576095829,95,67.55,63.78,10.11,4.72
116,San Vicente,75,EC,1576095829,69,-0.59,-80.41,82.4,14.99
117,Flinders,90,AU,1576095400,82,-34.58,150.85,64.0,6.93
118,Whitehorse,75,CA,1576095300,92,60.72,-135.06,24.8,9.17
119,Sabla,13,NG,1576095830,12,12.75,4.71,74.21,9.13
120,Rosetta,20,EG,1576095830,77,31.4,30.42,60.8,3.36
121,Thompson,5,CA,1576095310,68,55.74,-97.86,-16.6,11.41
122,Marzuq,1,YE,1576095830,74,14.4,46.47,67.62,4.23
123,Constitucion,5,MX,1576095457,41,23.99,-104.67,59.0,6.93
124,Sakaiminato,75,JP,1576095456,53,35.55,133.23,51.8,17.22
125,Ancud,40,CL,1576095454,47,-41.87,-73.83,59.0,17.22
126,Pevek,100,RU,1576095384,94,69.7,170.27,12.54,14.05
127,Qinzhou,16,CN,1576095832,38,21.96,108.62,54.61,3.24
128,Zhuhai,0,CN,1576095832,77,40.71,112.04,3.2,4.47
129,Bonavista,100,CA,1576095832,84,48.65,-53.11,35.01,11.99
130,Sao Joao do Paraiso,25,BR,1576095833,73,-15.31,-42.01,72.41,2.64
131,Haines Junction,89,CA,1576095833,97,60.75,-137.51,19.17,4.18
132,Cajimos,19,PH,1576095834,84,12.59,122.28,77.94,15.84
133,Srednekolymsk,100,RU,1576095409,94,67.46,153.71,-15.02,6.29
134,Itarema,63,BR,1576095834,73,-2.92,-39.92,80.19,8.1
135,Acapulco,5,MX,1576095459,62,16.86,-99.88,86.0,3.36
136,Rock Sound,0,BS,1576095835,81,24.9,-76.2,77.23,13.06
137,Geraldton,20,CA,1576095400,57,49.72,-86.95,-7.6,10.29
138,Iqaluit,90,CA,1576095465,77,63.75,-68.52,3.0,9.17
139,Berlevag,75,NO,1576095416,85,70.86,29.09,24.8,32.21
140,Touros,40,BR,1576095436,62,-5.2,-35.46,84.2,21.92
141,Mahebourg,75,MU,1576095412,94,-20.41,57.7,80.01,3.36
142,Provideniya,75,RU,1576095407,98,64.42,-173.23,32.0,17.9
143,Kahului,1,US,1576095494,65,20.89,-156.47,79.0,4.7
144,Sandpoint,90,US,1576095837,93,48.28,-116.55,34.0,4.34
145,Dong Hoi,89,VN,1576095837,85,17.48,106.6,62.42,4.41
146,Shiogama,0,JP,1576095837,74,38.33,141.02,46.87,7.52
147,Barrow,100,AR,1576095445,67,-38.31,-60.23,67.53,8.93
148,Tuktoyaktuk,5,CA,1576095837,63,69.44,-133.03,-11.2,28.86
149,Dikson,0,RU,1576095402,90,73.51,80.55,-10.98,12.3
150,Loiza,40,PR,1576095838,69,18.43,-65.88,82.99,16.11
151,Souillac,46,FR,1576095447,93,45.6,-0.6,42.8,6.93
152,Anadyr,75,RU,1576095403,92,64.73,177.51,23.0,6.71
153,Krasnoye,90,RU,1576095838,81,44.87,39.46,36.0,6.71
154,Ballina,75,IE,1576095838,100,54.11,-9.15,44.01,8.05
155,Ust-Maya,99,RU,1576095839,98,60.42,134.54,-33.39,0.83
156,Verkh-Usugli,22,RU,1576095839,95,52.7,115.17,-6.56,2.73
157,Ypsilanti,90,US,1576095839,53,42.24,-83.61,26.01,14.99
158,Saint-Georges,0,CA,1576095441,56,46.12,-70.67,23.0,2.71
159,Bati,7,ET,1576095840,76,11.19,40.02,65.7,4.7
160,Shimanovsk,0,RU,1576095386,99,52.0,127.67,-16.11,2.15
161,Maceio,20,BR,1576095382,58,-9.67,-35.74,84.2,14.99
162,Taphan Hin,4,TH,1576095841,58,16.22,100.43,68.0,3.11
163,Mahon,20,IE,1576095451,83,51.89,-8.4,36.0,10.29
164,Cabo San Lucas,40,MX,1576095842,60,22.89,-109.91,80.01,10.29
165,Saint-Louis,100,SN,1576095842,28,16.03,-16.5,80.6,4.7
166,Bhanpuri,0,IN,1576095842,58,21.1,80.92,63.07,1.36
167,Tuatapere,98,NZ,1576095433,89,-46.13,167.69,57.0,3.0
168,Concepcion del Oro,13,MX,1576095843,52,24.63,-101.42,55.51,9.08
169,Arraial do Cabo,75,BR,1576095449,94,-22.97,-42.02,77.0,6.93
170,Labuhan,100,ID,1576095844,97,-2.54,115.51,72.03,0.92
171,Olbia,20,IT,1576095844,71,40.92,9.49,51.8,12.75
172,Longyearbyen,59,NO,1576095468,60,78.22,15.63,8.6,32.21
173,Zhigansk,100,RU,1576095844,95,66.77,123.37,-29.2,8.95
174,Hirara,70,JP,1576095405,73,24.8,125.28,68.45,26.33
175,Cidreira,0,BR,1576095372,87,-30.17,-50.22,74.01,21.88
176,Cafarnaum,44,BR,1576095845,36,-11.69,-41.47,81.88,4.59
177,Port Hardy,90,CA,1576095447,81,50.7,-127.42,46.4,23.04
178,Ourem,40,PT,1576095846,81,39.64,-8.59,54.0,1.12
179,Honningsvag,75,NO,1576095846,92,70.98,25.97,26.6,23.04
180,Kisangani,100,CD,1576095846,99,0.52,25.21,67.89,0.94
181,Paamiut,100,GL,1576095846,87,61.99,-49.67,29.28,12.21
182,Saint-Alexandre,68,FR,1576095847,93,44.23,4.62,41.0,6.93
183,Faanui,47,PF,1576095445,75,-16.48,-151.75,80.35,9.35
184,Te Anau,100,NZ,1576095847,94,-45.41,167.72,50.41,0.67
185,La Ronge,5,CA,1576095505,62,55.1,-105.3,-13.0,2.24
186,Lata,100,IN,1576095436,94,30.78,78.62,18.79,3.6
187,Jiwani,0,PK,1576095848,73,25.05,61.74,75.02,11.16
188,Leningradskiy,100,RU,1576095427,90,69.38,178.42,26.85,20.8
189,Mbini,40,GQ,1576095849,88,1.58,9.62,80.6,6.93
190,Chuy,8,UY,1576095371,35,-33.69,-53.46,86.65,7.36
191,Seoul,1,KR,1576095606,46,37.57,126.98,30.2,2.24
192,Poli,0,CM,1576095849,20,8.48,13.24,76.08,2.89
193,Katsuura,40,JP,1576095375,93,33.93,134.5,48.0,3.36
194,Kavieng,78,PG,1576095438,71,-2.57,150.8,84.58,7.99
195,Kieta,85,PG,1576095377,75,-6.22,155.63,82.04,4.27
196,Ca Mau,19,VN,1576095440,96,9.18,105.15,70.77,3.44
197,Antalaha,32,MG,1576095477,80,-14.9,50.28,81.18,8.05
198,Colares,40,PT,1576095852,76,38.8,-9.45,53.01,5.82
199,Bamnet Narong,0,TH,1576095852,57,15.5,101.69,59.29,7.07
200,Diplo,100,PK,1576095852,43,24.47,69.59,73.44,4.76
201,Caravelas,0,BR,1576095451,87,-17.73,-39.27,75.25,9.78
202,Juneau,90,US,1576095853,93,58.3,-134.42,39.2,4.97
203,Saint-Augustin,90,CA,1576095853,73,45.63,-73.98,28.0,4.7
204,Harper,1,US,1576095429,37,30.3,-99.24,60.01,4.7
205,Baykit,100,RU,1576095854,96,61.68,96.39,16.18,3.49
206,Lagoa,97,PT,1576095444,62,37.14,-8.45,54.0,8.05
207,Balabac,100,PH,1576095419,84,7.99,117.06,80.31,17.36
208,Ghugus,0,IN,1576095854,70,19.93,79.13,65.25,2.95
209,Carutapera,100,BR,1576095854,76,-1.2,-46.02,82.47,15.21
210,Boali,40,CF,1576095855,83,4.81,18.11,78.8,4.7
211,Mizdah,0,LY,1576095855,56,31.45,12.98,45.07,15.48
212,Naze,40,NG,1576095406,83,5.43,7.07,77.0,4.5
213,Pathein,0,MM,1576095419,78,16.78,94.73,65.62,3.8
214,Pervomayskiy,62,RU,1576095856,96,53.24,40.29,32.49,4.72
215,Loviisa,90,FI,1576095856,95,60.46,26.23,35.01,11.41
216,Sungairaya,99,ID,1576095856,92,0.7,108.9,74.26,3.13
217,Soria,0,ES,1576095857,78,41.76,-2.46,37.0,4.0
218,Vanavara,84,RU,1576095857,96,60.35,102.28,11.39,4.99
219,Azangaro,40,PE,1576095857,36,-14.91,-70.2,64.4,5.82
220,Hervey Bay,59,AU,1576095857,78,-25.3,152.85,80.01,9.17
221,Khash,0,IR,1576095858,88,28.22,61.21,48.9,2.1
222,Bilibino,100,RU,1576095858,99,68.06,166.44,-10.26,4.12
223,Klaksvik,75,FO,1576095471,93,62.23,-6.59,35.6,21.92
224,Qaqortoq,75,GL,1576095508,34,60.72,-46.03,33.8,21.92
225,Aripuana,99,BR,1576095859,84,-9.17,-60.63,83.1,1.66
226,Yokadouma,49,CM,1576095859,59,3.52,15.05,74.01,0.51
227,Khandbari,74,NP,1576095859,85,27.38,87.21,35.33,1.81
228,Haicheng,49,CN,1576095860,40,40.85,122.74,20.32,3.71
229,Mozarlandia,50,BR,1576095860,68,-14.74,-50.57,85.95,0.54
230,West Wendover,20,US,1576095860,80,40.74,-114.07,35.6,3.36
231,Gupitan,100,PH,1576095860,1,7.78,125.64,70.0,1.59
232,Conakry,40,GN,1576095630,83,9.52,-13.7,82.4,4.7
233,Victoria,75,BN,1576095233,94,5.28,115.24,77.0,1.12
234,Kargasok,100,RU,1576095861,92,59.06,80.87,27.43,11.45
235,Victoria,75,BN,1576095813,94,5.28,115.24,78.8,1.12
236,Hobyo,45,SO,1576095498,78,5.35,48.53,78.33,7.76
237,Salalah,40,OM,1576095385,78,17.01,54.1,78.8,2.24
238,Coquimbo,20,CL,1576095376,68,-29.95,-71.34,73.0,12.75
239,Ust-Nera,100,RU,1576095862,99,64.57,143.24,-35.61,1.81
240,Lethem,83,GY,1576095862,48,3.38,-59.8,90.73,7.99
241,Dingle,12,PH,1576095430,96,11.0,122.67,72.68,8.52
242,Turayf,100,SA,1576095863,76,31.68,38.65,53.6,14.99
243,Kattivakkam,40,IN,1576095863,78,13.22,80.32,80.01,3.36
244,Saint-Pierre,100,FR,1576095404,100,48.95,4.24,42.8,13.87
245,Nuevo Progreso,90,US,1576095863,66,26.05,-97.95,59.0,11.41
246,Koumac,4,NC,1576095864,64,-20.56,164.28,73.78,2.42
247,Nanortalik,100,GL,1576095410,60,60.14,-45.24,33.33,27.65
248,Parabel,100,RU,1576095864,91,58.71,81.5,26.67,10.27
249,Narsaq,75,GL,1576095490,34,60.91,-46.05,33.8,21.92
250,Luau,77,CD,1576095864,97,-10.7,22.23,65.07,4.0
251,Northam,0,AU,1576095438,40,-31.65,116.67,73.4,21.92
252,Svetlaya,100,RU,1576095416,87,46.54,138.33,25.12,25.37
253,Iquique,20,CL,1576095705,56,-20.22,-70.14,71.6,16.11
254,Iquitos,40,PE,1576095797,88,-3.75,-73.25,80.6,3.36
255,Kralendijk,40,BQ,1576095866,62,12.15,-68.27,86.0,16.11
256,Almaty,90,KZ,1576095866,92,43.24,76.95,24.8,8.08
257,Conde,0,BR,1576095866,75,-11.81,-37.61,79.88,15.05
258,San Cristobal,37,HN,1576095866,57,14.68,-86.92,77.56,8.7
259,Guerrero Negro,100,MX,1576095867,34,27.97,-114.04,72.09,7.29
260,Durango,20,MX,1576095867,36,24.02,-104.67,60.8,4.7
261,Olsztyn,90,PL,1576095817,100,53.78,20.48,28.4,9.17
262,Tessalit,96,ML,1576095430,13,20.2,1.01,70.09,14.0
263,Tautira,40,PF,1576095868,70,-17.73,-149.15,84.2,4.7
264,Barcelos,100,BR,1576095868,86,-0.97,-62.93,81.5,1.77
265,Luderitz,0,NA,1576095399,88,-26.65,15.16,64.4,14.99
266,Suntar,100,RU,1576095868,99,62.16,117.65,-17.45,2.17
267,Dwarka,75,IN,1576095868,77,28.58,77.04,68.0,4.23
268,Ribeira Grande,40,PT,1576095394,71,38.52,-28.7,53.6,10.29
269,Ishigaki,53,JP,1576095869,71,24.34,124.16,68.5,24.45
270,Miyako,75,JP,1576095869,57,33.63,130.94,51.8,19.46
271,Maragogi,21,BR,1576095670,77,-9.01,-35.22,80.11,16.33
272,Rio Gallegos,40,AR,1576095355,41,-51.62,-69.22,57.2,19.46
273,Bath,0,GB,1576095870,86,51.38,-2.36,39.2,11.41
274,Beloha,100,MG,1576095870,87,-25.17,45.06,76.23,7.63
275,Varkaus,90,FI,1576095871,92,62.32,27.87,30.99,16.11
276,Vilyuysk,100,RU,1576095871,93,63.75,121.63,-22.68,4.88
277,Sorong,46,ID,1576095871,96,-0.86,131.25,73.06,1.92
278,Shingu,0,JP,1576095414,70,33.72,135.99,57.61,16.17
279,Sa Kaeo,14,TH,1576095872,59,13.8,102.09,64.11,3.38
280,Linhares,41,BR,1576095872,82,-19.38,-40.06,76.42,7.16
281,Hasaki,20,JP,1576095872,100,35.73,140.83,46.0,4.7
282,Hit,100,IQ,1576095872,69,33.64,42.83,56.14,4.5
283,Cairns,75,AU,1576095372,83,-16.92,145.77,78.8,5.82
284,Bose,75,IT,1576095873,68,45.46,8.01,41.0,2.24
285,Alofi,100,NU,1576095308,88,-19.06,-169.92,80.6,4.7
286,Wladyslawowo,100,PL,1576095874,86,54.79,18.4,33.01,12.75
287,Khorixas,8,NA,1576095874,27,-20.37,14.96,70.95,10.49
288,Cabra,18,ES,1576095875,81,37.47,-4.43,46.99,2.24
289,Raudeberg,75,NO,1576095500,75,61.99,5.14,44.6,44.96
290,Najran,82,SA,1576095875,50,17.54,44.22,75.2,6.93
291,Magadan,0,RU,1576095875,73,59.56,150.8,-3.03,7.4
292,Alberton,0,ZA,1576095875,72,-26.25,28.13,64.99,2.24
293,Comodoro Rivadavia,40,AR,1576095456,22,-45.87,-67.48,68.0,23.04
294,Lisakovsk,58,KZ,1576095876,84,52.55,62.49,20.41,10.87
295,Athabasca,100,CA,1576095876,93,54.72,-113.29,5.36,9.44
296,Zeya,43,RU,1576095876,100,53.74,127.27,-21.08,2.68
297,Gashua,58,NG,1576095877,11,12.87,11.04,69.53,9.22
298,Vestmannaeyjar,61,IS,1576095498,64,63.44,-20.27,32.54,28.16
299,Kibre Mengist,13,ET,1576095877,98,5.87,38.99,56.95,1.59
300,Camacha,40,PT,1576095442,82,33.08,-16.33,62.6,18.34
301,Caruray,100,PH,1576095878,79,10.31,119.01,81.16,15.93
302,Kochubey,32,RU,1576095878,81,44.39,46.54,34.5,4.56
303,Puerto Escondido,5,MX,1576095878,70,15.86,-97.07,84.2,6.93
304,Lebu,14,ET,1576095413,95,8.96,38.73,52.41,2.13
305,Airai,24,TL,1576095394,68,-8.93,125.41,66.63,3.42
306,Broken Hill,88,AU,1576095505,55,-31.97,141.45,60.8,12.75
307,Gobabis,10,NA,1576095880,22,-22.45,18.97,78.12,11.18
308,Svetlogorsk,75,RU,1576095880,68,53.14,59.15,30.2,17.9
309,Erenhot,0,CN,1576095491,66,43.65,111.97,17.47,14.2
310,Tsevie,20,TG,1576095880,79,6.43,1.21,84.2,9.17
311,Fukue,40,JP,1576095880,71,35.03,136.69,55.4,14.99
312,Mildura,58,AU,1576095881,67,-34.18,142.16,57.2,13.87
313,Fianarantsoa,100,MG,1576095881,95,-21.45,47.09,65.59,4.9
314,Waingapu,0,ID,1576095881,72,-9.65,120.26,83.55,2.98
315,Severo-Kurilsk,86,RU,1576095424,87,50.68,156.12,23.11,9.04
316,Plettenberg Bay,1,ZA,1576095882,90,-34.05,23.37,64.63,3.49
317,Mestia,0,GE,1576095882,72,43.04,42.73,16.48,2.06
318,Jonuta,75,MX,1576095882,74,18.08,-92.13,84.2,9.17
319,Burns Lake,100,CA,1576095670,91,54.23,-125.76,25.93,3.18
320,Sayyan,62,YE,1576095883,55,15.17,44.32,58.17,4.36
321,Ohaeawai,85,NZ,1576095883,74,-35.35,173.88,64.99,4.0
322,Qingdao,0,CN,1576095883,73,36.09,120.35,33.01,2.24
323,Sola,3,TZ,1576095883,88,-3.17,33.8,65.82,2.13
324,Kolomak,90,UA,1576095883,95,49.84,35.31,36.75,5.1
325,Kutum,0,SD,1576095884,20,14.2,24.66,66.16,2.59
326,Kozachi Laheri,90,UA,1576095884,100,46.71,32.99,37.0,11.18
327,Taltal,0,CL,1576095884,65,-25.41,-70.49,64.49,8.81
328,Cayenne,75,GF,1576095884,74,4.94,-52.33,82.4,11.41
329,The Valley,40,AI,1576095183,69,18.22,-63.06,84.2,13.87
330,College,90,US,1576095459,92,64.86,-147.8,24.01,4.23
331,Alakurtti,100,RU,1576095885,91,66.96,30.34,25.0,5.99
332,Nova Olimpia,96,BR,1576095876,67,-14.8,-57.29,86.65,3.62
333,Itaituba,20,BR,1576095886,59,-4.26,-55.99,91.4,5.82
334,Tambacounda,100,SN,1576095886,23,13.77,-13.67,84.2,6.93
335,Fernley,90,US,1576095886,61,39.61,-119.25,51.8,6.93
336,Gigmoto,100,PH,1576095887,77,13.78,124.39,81.88,18.16
337,Aloleng,100,PH,1576095887,95,16.13,119.78,71.37,4.5
338,Rawson,40,AR,1576095887,11,-43.3,-65.11,80.6,28.86
339,Solwezi,100,ZM,1576095887,97,-12.18,26.4,63.07,6.15
340,Esperance,18,AU,1576095442,87,-33.86,121.89,51.8,5.82
341,Campbell River,90,CA,1576095888,93,50.02,-125.24,46.4,13.87
342,Laguna,75,BZ,1576095423,79,16.17,-88.94,84.2,9.17
343,Koulamoutou,0,GA,1576095888,95,-1.13,12.47,71.69,1.79
344,Nelson Bay,90,AU,1576095888,72,-32.72,152.14,68.0,9.17
345,Naron,20,ES,1576095441,93,43.52,-8.15,55.0,9.17
346,Bathsheba,75,BB,1576095414,66,13.22,-59.52,84.2,19.46
347,Henties Bay,2,NA,1576095494,89,-22.12,14.28,64.0,1.99
348,Fairbanks,90,US,1576095190,92,64.84,-147.72,23.0,3.83
349,Ahipara,15,NZ,1576095890,82,-35.17,173.16,63.37,14.32
350,Abu Zabad,0,SD,1576095890,17,12.35,29.25,75.4,10.58
351,Vardo,1,US,1576095385,34,39.62,-77.74,39.2,17.22
352,San Andres,50,PH,1576095890,88,13.32,122.68,75.58,8.3
353,Kudahuvadhoo,100,MV,1576095891,91,2.67,72.89,77.0,13.65
354,Pimentel,100,BR,1576095891,66,-3.7,-45.5,82.35,4.45
355,Isangel,13,VU,1576095388,56,-19.55,169.27,74.98,3.47
356,Parrita,75,CR,1576095891,69,9.52,-84.33,78.8,10.29
357,Rudnogorsk,100,RU,1576095894,92,57.27,103.75,20.44,8.77
358,Chandur Bazar,0,IN,1576095894,63,21.24,77.75,64.89,3.2
359,Pochutla,5,MX,1576095433,58,15.74,-96.47,89.01,9.17
360,Necochea,100,AR,1576095814,1,-38.55,-58.74,81.0,5.01
361,Cabo Rojo,40,PR,1576095895,71,18.09,-67.15,87.01,12.75
362,Eureka,90,US,1576095454,71,40.8,-124.16,59.0,8.05
363,Port Moresby,100,PG,1576095895,85,-9.47,147.16,79.7,9.82
364,Vila Franca do Campo,40,PT,1576095382,62,37.72,-25.43,55.4,5.82
365,Consett,20,GB,1576095896,93,54.85,-1.83,37.4,3.36
366,Bandarbeyla,19,SO,1576095896,85,9.49,50.81,79.66,8.01
367,Korsakovo,100,RU,1576095607,96,53.27,37.36,34.21,3.87
368,Yendi,98,GH,1576095897,12,9.45,0.0,81.19,4.03
369,Mount Gambier,90,AU,1576095897,76,-37.83,140.78,53.6,11.41
370,Whyalla,90,AU,1576095897,72,-33.04,137.58,62.6,14.99
371,Pacific Grove,90,US,1576095897,63,36.62,-121.92,62.01,3.36
372,Ostersund,20,SE,1576095600,74,63.18,14.64,35.6,13.87
373,Bandundu,58,CD,1576095898,90,-3.32,17.38,72.45,4.52
